8145,6255,13754,11343,11147,4710,4361,10397,819,12417
6255,13754,8145,11343,11147,4361,10397,4710,4805,819
6255,13754,8145,11343,11147,10397,4361,4710,5619,819
6255,13754,11343,8145,11147,10397,4361,4710,819,4805
8746,16220,3938,9690,13328,5380,5188,10534,2699,91
6255,13754,8145,11343,11147,10397,4361,4710,819,4805
6255,13754,8145,11343,11147,10397,4361,4710,4805,819
9851,6255,11343,10397,13754,8145,4710,2425,819,4361
13754,6255,11343,8145,11147,4361,17730,10397,14892,819
6255,13754,11343,8145,11147,10397,4710,4361,819,4805
13754,6255,11343,11147,8145,10397,4361,4710,4805,819
15712,13212,16576,6255,8145,13754,11343,11147,4710,10397
6255,13754,8145,11343,11147,10397,4361,4710,819,2425
13754,6255,11343,11147,8145,10397,4361,4710,4805,819
13754,6255,11343,8145,11147,10397,4361,14892,4710,819
16758,13615,6008,8645,12989,13037,10302,12748,14782,974
6537,8486,8108,10165,5232,17428,514,2425,6441,16486
8715,5619,14554,5752,12656,16988,8145,10397,914,6255
6255,8145,13754,11343,11147,4361,10397,4710,4805,819
6255,13754,1648,1857,11343,8145,11147,10506,10162,10397
6255,11343,13754,8145,11147,10397,4805,4361,4710,819
6255,13754,11343,8145,11147,10397,4710,4361,819,2425
4607,11401,8145,6255,5151,13754,11343,11147,4361,819
3260,1754,15609,14766,7730,40,10331,14554,7479,14892
1005,1401,3850,11204,11469,14057,6722,12442,7399,12598
12728,15007,2998,859,1360,6216,1700,2425,4201,9218
6255,8145,13754,11343,11147,4710,4361,10397,17118,16453
939,5606,16302,2689,14112,9159,8276,12001,7921,17132
6255,13754,11343,8145,11147,10397,11935,4361,2483,4710
15562,5180,2390,14643,15787,4471,15344,6759,3755,15763
13754,6255,11343,11147,8145,4361,10397,10331,4710,4805
6255,8145,13754,4361,11343,11147,4710,2425,819,10397
5296,15772,7495,17229,15305,13228,2432,7420,5944,16463
6255,13754,11343,8145,11147,10397,4710,4361,4805,11935
8145,6255,13754,11147,11343,4710,4361,819,10397,2425
8627,6255,13754,8145,11343,11147,11703,4361,10397,4710
7691,10678,6255,13754,1898,8145,11343,11147,5382,4361
4092,11318,15261,10793,1724,14469,3398,2545,9299,15915
15261,2545,1724,9250,15844,14067,15915,11318,11748,10397
13754,6255,11343,11147,8145,4361,10397,2425,819,11935
13754,6255,11343,8145,11147,17730,4361,10331,10397,8068
6255,13754,11343,8145,11147,4361,10397,4710,819,4805
13754,6255,11343,8145,11147,4361,10397,4805,8068,17730
10397,6255,13754,5619,11343,12515,8145,4361,10548,9697
6255,13754,11343,8145,10397,11147,4361,10548,4710,819
5093,8682,16252,11209,5329,4128,4790,6837,11498,6402
17615,13970,9741,6255,13754,6603,11343,548,5619,8145
13369,2653,12600,16542,2235,10756,14016,7902,12769,10073
8586,13754,6255,8145,11343,11147,4361,10397,4710,819
6255,8145,13754,11343,11147,4361,10397,4710,9371,12828
13754,6255,11343,11147,8145,10397,4361,4805,4710,819
6255,13754,8145,11343,11147,2425,4710,10397,4361,819
13754,6255,11343,11147,8145,4361,10397,2425,819,4710
6255,13754,11343,8145,11147,10397,4710,4361,819,4805
8145,6255,13754,11343,6402,4361,10397,10548,4710,819
265,10397,6255,8145,13754,11343,11147,4710,4361,819
5619,6255,10397,8145,13754,11343,4361,11147,6402,10814
10990,3089,6192,16297,16347,11937,1601,13517,992,16857
6255,13754,2743,11343,8145,11147,10397,9893,4710,4361
6255,13754,11343,8145,11147,4361,10397,4710,819,2425
13754,6255,11343,11147,8145,648,10397,4361,4710,4805
6255,13754,8145,11343,11147,4710,10397,4361,819,2425
6255,13754,8145,11343,11147,10397,4361,4710,4805,819
13754,6255,11343,8145,11147,10397,4361,4710,5076,12828
10397,13754,6255,11343,8145,11147,2969,12615,8795,15198
6255,13754,11343,8145,11147,526,10397,4361,4710,819
